r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.63,9999.0,-0.516628,-0.39437,0.853805,-1.37328,-0.980984,1.03166
9999.0,9999.0,0.63,9999.0,-0.516628,-0.39437,0.853805,-1.37328,-0.980984,1.03166
9999.0,9999.0,0.63,9999.0,-0.51651,-0.394086,0.853846,-1.36236,-0.990221,1.01692
9999.0,9999.0,0.63,9999.0,-0.516393,-0.393804,0.853887,-1.35139,-0.999406,1.00212
9999.0,9999.0,0.63,9999.0,-0.516393,-0.393804,0.853887,-1.35139,-0.999406,1.00212
9999.0,9999.0,0.63,9999.0,-0.516276,-0.393524,0.853926,-1.3404,-1.00854,0.987277
9999.0,9999.0,0.54,9999.0,-0.516161,-0.393247,0.853964,-1.32938,-1.01761,0.972383
9999.0,9999.0,0.54,9999.0,-0.516161,-0.393247,0.853964,-1.32938,-1.01761,0.972383
9999.0,9999.0,0.54,9999.0,-0.516046,-0.392972,0.854002,-1.31833,-1.02663,0.957443
9999.0,9999.0,0.54,9999.0,-0.515933,-0.392699,0.854038,-1.30725,-1.03559,0.942462
9999.0,9999.0,0.54,9999.0,-0.515933,-0.392699,0.854038,-1.30725,-1.03559,0.942462
9999.0,9999.0,0.54,9999.0,-0.51582,-0.392429,0.854073,-1.29615,-1.04449,0.927442
9999.0,9999.0,0.57,9999.0,-0.515708,-0.392161,0.854107,-1.28503,-1.05332,0.912386
9999.0,9999.0,0.57,9999.0,-0.515708,-0.392161,0.854107,-1.28503,-1.05332,0.912386
9999.0,9999.0,0.57,9999.0,-0.515597,-0.391895,0.854141,-1.27389,-1.06209,0.897298
9999.0,9999.0,0.57,9999.0,-0.515486,-0.391631,0.854173,-1.26272,-1.0708,0.882182
9999.0,9999.0,0.57,9999.0,-0.515486,-0.391631,0.854173,-1.26272,-1.0708,0.882182
9999.0,9999.0,0.57,9999.0,-0.515377,-0.39137,0.854204,-1.25155,-1.07943,0.867039
9999.0,9999.0,0.58,9999.0,-0.515377,-0.39137,0.854204,-1.25155,-1.07943,0.867039
9999.0,9999.0,0.58,9999.0,-0.515269,-0.391111,0.854235,-1.24035,-1.088,0.851874
9999.0,9999.0,0.58,9999.0,-0.515161,-0.390855,0.854264,-1.22914,-1.0965,0.83669
9999.0,9999.0,0.58,9999.0,-0.515161,-0.390855,0.854264,-1.22914,-1.0965,0.83669
9999.0,9999.0,0.58,9999.0,-0.515055,-0.390601,0.854293,-1.21792,-1.10493,0.82149
9999.0,9999.0,0.58,9999.0,-0.51495,-0.39035,0.85432,-1.2067,-1.11329,0.806276
9999.0,9999.0,0.6,9999.0,-0.514845,-0.390101,0.854347,-1.19546,-1.12157,0.791053
9999.0,9999.0,0.6,9999.0,-0.514845,-0.390101,0.854347,-1.19546,-1.12157,0.791053
9999.0,9999.0,0.6,9999.0,-0.514741,-0.389854,0.854373,-1.18422,-1.12977,0.775823
9999.0,9999.0,0.6,9999.0,-0.514741,-0.389854,0.854373,-1.18422,-1.12977,0.775823
9999.0,9999.0,0.6,9999.0,-0.514639,-0.38961,0.854398,-1.17297,-1.13791,0.76059
9999.0,9999.0,0.6,9999.0,-0.514537,-0.389368,0.854423,-1.16172,-1.14596,0.745356
9999.0,9999.0,0.6,9999.0,-0.514537,-0.389368,0.854423,-1.16172,-1.14596,0.745356
9999.0,9999.0,0.6,9999.0,-0.514437,-0.389128,0.854446,-1.15047,-1.15394,0.730125
9999.0,9999.0,0.6,9999.0,-0.514337,-0.388892,0.854469,-1.13923,-1.16184,0.714899
9999.0,9999.0,0.6,9999.0,-0.514337,-0.388892,0.854469,-1.13923,-1.16184,0.714899
9999.0,9999.0,0.6,9999.0,-0.514238,-0.388657,0.854491,-1.12798,-1.16966,0.699682
9999.0,9999.0,0.6,9999.0,-0.514141,-0.388425,0.854512,-1.11674,-1.17739,0.684476
9999.0,9999.0,0.6,9999.0,-0.514141,-0.388425,0.854512,-1.11674,-1.17739,0.684476
